datetime,code,open,close,high,low,vol,amount,ma60,ma120,ma250
2017-11-17,002739,52.04,52.04,52.04,52.04,5.87747175411e-39,5.87747175411e-39,54.50,55.35,62.23
2017-07-03,002739,50.99,52.04,52.04,50.81,97920.0,502853600.0,54.58,55.36,62.32
2017-06-30,002739,51.85,50.97,51.94,50.51,128521.0,655154816.0,54.65,55.38,62.41
2017-06-29,002739,52.05,51.85,52.46,51.63,85061.0,442157792.0,54.75,55.41,62.51
2017-06-28,002739,52.96,52.45,52.97,52.0,108342.0,566485696.0,54.82,55.43,62.60
2017-06-27,002739,54.38,53.2,54.4,53.14,100390.0,538123072.0,54.90,55.45,62.70
2017-06-26,002739,53.8,54.18,54.3,52.78,182367.0,975825856.0,54.99,55.46,62.79
2017-06-23,002739,52.81,53.8,54.98,50.95,346110.0,1830858368.0,55.07,55.48,62.88
2017-06-22,002739,57.63,51.93,57.64,51.9,229277.0,1241778944.0,55.13,55.50,62.97
2017-06-21,002739,58.2,57.64,58.2,57.26,35778.0,206441936.0,55.23,55.54,63.07
2017-06-20,002739,57.35,57.97,58.08,57.35,38484.0,222256368.0,55.21,55.54,63.18
2017-06-19,002739,57.21,57.45,57.97,56.9,37312.0,213917904.0,55.20,55.54,63.30
2017-06-16,002739,58.4,57.38,58.75,57.28,34778.0,200824464.0,55.18,55.56,63.42
2017-06-15,002739,58.23,58.31,58.92,58.01,33174.0,194000928.0,55.16,55.57,63.51
2017-06-14,002739,58.95,58.36,59.04,58.3,30082.0,175875776.0,55.14,55.58,63.61
2017-06-13,002739,58.35,58.92,58.93,58.08,43174.0,252855952.0,55.12,55.58,63.71
2017-06-12,002739,58.36,58.66,59.05,57.9,49636.0,290484896.0,55.09,55.59,63.81
2017-06-09,002739,59.9,58.68,59.98,57.95,78982.0,462261696.0,55.07,55.64,63.91
2017-06-08,002739,60.0,59.75,60.8,59.3,67363.0,403087104.0,55.05,55.70,64.02
2017-06-07,002739,58.4,60.15,60.26,57.93,106230.0,631553920.0,55.00,55.75,64.12
2017-06-06,002739,57.69,58.3,58.58,57.07,60668.0,353396672.0,54.96,55.79,64.22
2017-06-05,002739,56.6,57.69,59.1,56.6,82472.0,478990560.0,54.96,55.85,64.33
2017-06-02,002739,55.0,56.49,56.79,54.25,53491.0,297882976.0,54.96,55.92,64.41
2017-06-01,002739,55.4,55.2,55.53,54.67,28872.0,159136656.0,54.96,56.00,64.49
2017-05-31,002739,56.37,55.4,57.2,55.36,39165.0,221208752.0,55.01,56.10,64.56
2017-05-26,002739,55.66,56.08,56.34,55.1,41591.0,232256128.0,55.05,56.19,64.64
2017-05-25,002739,55.05,55.56,55.74,54.2,31683.0,174711056.0,55.05,56.27,64.72
2017-05-24,002739,54.37,55.07,55.28,53.12,38520.0,209932032.0,55.05,56.36,64.82
2017-05-23,002739,55.1,54.36,55.94,53.63,43258.0,237140112.0,55.04,56.45,64.91
2017-05-22,002739,54.1,55.1,55.96,54.1,61389.0,339300992.0,55.03,56.55,65.04
2017-05-19,002739,56.19,54.15,56.32,53.98,97003.0,531649088.0,55.01,56.65,65.18
2017-05-18,002739,56.0,55.71,56.79,55.61,45362.0,254466592.0,55.02,56.76,65.32
2017-05-17,002739,55.35,56.4,58.29,55.01,116105.0,659602496.0,54.99,56.85,65.48
2017-05-16,002739,54.49,55.37,55.4,54.01,56076.0,306619360.0,54.95,56.94,65.66
2017-05-15,002739,53.67,54.11,54.28,53.67,38690.0,209039632.0,54.92,57.04,65.84
2017-05-12,002739,52.8,53.28,53.6,52.8,34564.0,183799376.0,54.92,57.16,66.02
2017-05-11,002739,52.58,52.8,52.98,52.0,36423.0,191547760.0,54.96,57.29,66.23
2017-05-10,002739,52.09,52.63,53.66,52.09,50035.0,264957312.0,55.01,57.42,66.42
