,date,open,close,high,low,code
0,2010-02-12,22.422,20.782,22.422,20.346,000776
1,2010-02-22,21.093,22.862,22.862,20.52,000776
2,2010-02-23,22.422,21.915,22.547,21.542,000776
3,2010-02-24,21.691,22.297,22.754,21.637,000776
4,2010-02-25,22.318,23.269,24.033,22.057,000776
5,2010-02-26,22.929,22.538,23.09,22.376,000776
6,2010-03-02,22.713,21.965,22.837,21.841,000776
7,2010-03-03,21.866,22.032,22.331,21.583,000776
8,2010-03-04,21.928,21.55,21.928,21.193,000776
9,2010-03-05,21.592,21.882,22.451,21.592,000776
10,2010-03-08,21.965,21.592,21.978,21.45,000776
11,2010-03-09,21.529,21.529,21.758,21.218,000776
12,2010-03-10,21.6,21.654,22.38,21.529,000776
13,2010-03-11,21.695,23.082,23.792,21.612,000776
14,2010-03-12,22.837,22.297,23.223,22.277,000776
15,2010-03-15,22.173,22.962,23.165,21.695,000776
16,2010-03-16,22.754,24.241,24.573,22.725,000776
17,2010-03-18,24.369,24.419,25.104,23.668,000776
18,2010-03-19,24.166,24.465,24.635,23.875,000776
19,2010-03-22,24.498,23.896,24.573,23.796,000776
20,2010-03-23,23.83,23.755,24.199,23.356,000776
21,2010-03-24,23.917,23.539,24.162,23.485,000776
22,2010-03-25,23.497,22.725,23.497,22.63,000776
23,2010-03-26,22.754,23.153,23.452,22.463,000776
24,2010-03-29,23.315,23.622,24.045,23.165,000776
25,2010-03-30,23.622,23.381,23.626,23.074,000776
26,2010-03-31,23.543,23.066,23.709,22.991,000776
27,2010-04-01,23.041,23.377,23.585,23.041,000776
28,2010-04-02,23.356,23.203,23.497,23.128,000776
29,2010-04-06,23.136,23.161,23.551,23.057,000776
30,2010-04-07,23.211,22.65,23.252,22.488,000776
31,2010-04-08,22.825,22.268,22.829,22.214,000776
32,2010-04-09,22.372,22.414,22.567,22.256,000776
33,2010-04-12,22.476,21.924,22.551,21.799,000776
34,2010-04-13,22.027,22.912,23.169,21.932,000776
35,2010-04-14,22.999,22.63,23.041,22.339,000776
36,2010-04-15,22.634,22.588,22.962,22.401,000776
37,2010-04-16,22.463,21.974,22.522,21.803,000776
38,2010-04-19,21.592,20.67,21.72,20.632,000776
39,2010-04-20,20.637,20.122,20.881,19.902,000776
40,2010-04-21,20.159,20.383,20.462,20.055,000776
41,2010-04-22,20.259,19.839,20.259,19.432,000776
42,2010-04-23,19.781,19.495,20.014,19.453,000776
43,2010-04-26,19.561,19.096,19.835,19.05,000776
44,2010-04-27,19.092,19.183,19.511,18.216,000776
45,2010-04-28,18.677,19.312,19.677,18.407,000776
46,2010-04-29,19.437,19.096,19.723,18.843,000776
47,2010-04-30,19.05,19.536,19.636,18.868,000776
48,2010-05-04,19.092,18.81,19.37,18.419,000776
49,2010-05-05,18.274,18.897,19.171,18.274,000776
50,2010-05-06,18.926,18.095,19.096,18.062,000776
51,2010-05-07,17.443,16.712,17.625,16.712,000776
52,2010-05-10,16.625,16.529,16.864,15.889,000776
53,2010-05-11,16.973,15.188,17.016,15.11,000776
54,2010-05-12,14.797,14.966,15.493,14.666,000776
55,2010-05-13,14.927,15.193,15.302,14.723,000776
56,2010-05-14,15.001,14.845,15.093,14.662,000776
57,2010-05-17,14.514,13.443,14.54,13.439,000776
58,2010-05-18,13.404,13.844,14.1,13.274,000776
59,2010-05-19,13.709,13.696,14.039,13.404,000776
60,2010-05-20,13.491,13.874,14.309,13.408,000776
61,2010-05-24,14.17,15.262,15.262,14.092,000776
62,2010-05-25,15.397,15.637,15.75,15.154,000776
63,2010-05-26,15.493,15.393,15.754,15.167,000776
64,2010-05-27,15.28,15.463,15.528,14.744,000776
65,2010-05-28,15.711,15.132,15.741,15.075,000776
66,2010-05-31,14.797,14.335,15.032,14.279,000776
67,2010-06-01,14.005,14.37,14.666,14.005,000776
68,2010-06-02,14.209,15.284,15.376,14.166,000776
69,2010-06-03,15.114,14.731,15.323,14.675,000776
70,2010-06-04,14.536,15.354,15.776,14.527,000776
71,2010-06-07,14.849,14.919,15.101,14.579,000776
72,2010-06-08,14.936,15.106,15.441,14.823,000776
73,2010-06-09,15.228,15.832,16.024,14.801,000776
74,2010-06-10,15.537,15.441,15.711,15.319,000776
75,2010-06-11,15.658,15.319,15.667,15.319,000776
76,2010-06-17,15.406,14.958,15.476,14.932,000776
77,2010-06-18,14.888,14.327,15.141,14.274,000776
78,2010-06-21,14.353,15.18,15.354,14.253,000776
79,2010-06-22,15.032,15.114,15.302,14.993,000776
80,2010-06-23,14.993,15.45,15.667,14.971,000776
81,2010-06-24,15.362,15.293,15.523,15.145,000776
82,2010-06-25,15.101,14.906,15.184,14.797,000776
83,2010-06-28,14.914,14.849,14.993,14.701,000776
84,2010-06-29,14.762,14.013,15.175,14.013,000776
85,2010-06-30,13.861,13.404,13.922,13.186,000776
86,2010-07-01,13.404,13.052,13.665,13.012,000776
87,2010-07-02,13.117,13.06,13.404,12.686,000776
88,2010-07-05,12.843,12.699,12.969,12.481,000776
89,2010-07-06,12.664,12.947,13.012,12.647,000776
90,2010-07-07,12.951,13.291,13.482,12.73,000776
91,2010-07-08,13.26,13.008,13.491,12.93,000776
92,2010-07-09,12.965,13.326,13.482,12.403,000776
93,2010-07-12,13.247,13.4,13.482,13.06,000776
94,2010-07-13,13.169,12.991,13.252,12.947,000776
95,2010-07-14,13.121,13.13,13.343,13.056,000776
96,2010-07-15,13.004,12.577,13.208,12.547,000776
97,2010-07-16,12.32,12.334,12.529,12.09,000776
98,2010-07-19,12.142,12.699,12.895,12.103,000776
99,2010-07-20,12.738,13.448,13.491,12.647,000776
100,2010-07-21,13.426,13.213,13.478,13.186,000776
101,2010-07-22,13.186,13.535,13.6,13.143,000776
102,2010-07-23,13.535,14.026,14.274,13.456,000776
103,2010-07-26,13.974,13.865,14.253,13.709,000776
104,2010-07-27,13.861,13.926,14.231,13.765,000776
105,2010-07-28,13.852,14.353,14.479,13.687,000776
106,2010-08-03,14.71,14.475,15.214,14.475,000776
107,2010-08-04,14.309,14.314,14.457,14.005,000776
108,2010-08-05,14.196,14.031,14.318,13.926,000776
109,2010-08-06,13.952,14.57,14.575,13.931,000776
110,2010-08-09,14.623,14.457,14.731,14.344,000776
111,2010-08-10,14.505,13.6,14.527,13.583,000776
112,2010-08-11,13.609,13.63,13.787,13.456,000776
113,2010-08-12,13.321,13.178,13.578,13.165,000776
114,2010-08-13,13.226,13.3,13.317,13.039,000776
115,2010-08-16,13.247,13.8,13.905,13.173,000776
116,2010-08-17,13.752,13.852,14.048,13.709,000776
117,2010-08-18,13.896,13.831,14.14,13.796,000776
118,2010-08-19,13.831,14.031,14.166,13.752,000776
119,2010-08-20,13.926,13.356,13.926,13.278,000776
120,2010-08-23,13.339,13.269,13.456,13.099,000776
121,2010-08-24,13.186,13.361,13.513,13.056,000776
122,2010-08-25,13.274,12.934,13.33,12.934,000776
123,2010-08-26,13.012,13.034,13.143,12.882,000776
124,2010-08-27,12.995,13.025,13.274,12.895,000776
125,2010-08-30,13.104,13.387,13.578,13.056,000776
126,2010-08-31,13.313,13.143,13.313,13.012,000776
127,2010-09-02,13.308,13.226,13.365,13.06,000776
128,2010-09-03,13.234,12.921,13.3,12.86,000776
129,2010-09-06,12.978,14.214,14.214,12.925,000776
130,2010-09-07,14.248,14.039,14.261,13.826,000776
131,2010-09-08,13.926,13.952,14.013,13.687,000776
132,2010-09-09,13.961,14.109,14.549,13.883,000776
133,2010-09-10,14.079,13.926,14.209,13.626,000776
134,2010-09-13,13.918,14.309,14.492,13.761,000776
135,2010-09-14,14.357,14.418,14.74,14.187,000776
136,2010-09-15,14.357,13.983,14.357,13.931,000776
137,2010-09-16,13.939,14.583,15.141,13.931,000776
138,2010-09-17,14.274,14.079,14.618,14.048,000776
139,2010-09-20,14.057,13.648,14.096,13.596,000776
140,2010-09-21,13.796,13.652,13.9,13.622,000776
141,2010-09-27,13.752,13.73,13.778,13.317,000776
142,2010-09-28,13.691,13.317,13.691,13.282,000776
143,2010-09-29,13.274,13.282,13.643,13.147,000776
144,2010-09-30,13.186,13.587,13.717,13.069,000776
145,2010-10-08,13.752,14.771,14.945,13.717,000776
146,2010-10-11,14.797,16.246,16.246,14.671,000776
147,2010-10-12,16.842,17.417,17.8,16.494,000776
148,2010-10-13,17.417,17.625,17.782,17.06,000776
